Naturalidade,lat,lon
Carmo do Paranaíba,-18.9992327,-46.306916
Belo Horizonte,-19.9227318,-43.9450948
Paracatu,-17.2174056,-46.8707514
Abre Campo,-20.295421,-42.480131
Viçosa,-20.7538586,-42.8815888
Coronel Fabriciano,-19.5200067,-42.6282686
Governador Valadares,-18.8698882,-41.9459383
Santos,-23.9335988,-46.3286399
Guaraciaba,-20.5718037,-43.0057078
Ubá,-21.12,-42.942777
São Paulo,-23.5506507,-46.6333824
Pirapetinga,-21.656903,-42.345955
São José dos Campos,-23.1867782,-45.8854538
Piranga,-20.685,-43.3
Visconde do Rio Branco,-21.01,-42.840833
Varginha,-21.5565914,-45.4340674
Senhora dos Remédios,-21.028056,-43.582778
João Monlevade,-19.809444,-43.173334
Ipatinga,-19.4777807,-42.5270802
Ponte Nova,-20.4164353,-42.90878
Cruz Alta,-28.645056,-53.6058047
Juiz de Fora,-21.7609533,-43.3501129
Timóteo,-19.5771395,-42.6436108
Niterói,-22.8884,-43.1147
Goiânia,-16.680882,-49.2532691
Cachoeiro de Itapemirim,-20.848084,-41.11129
Divinópolis,-20.1597921,-44.8739341
Uberaba,-19.750833,-47.936666
Congonhas,-20.5015168,-43.8564586
Cataguases,-21.387426,-42.6957219
Ervália,-20.8377232,-42.6559789
Vazante,-17.9896107,-46.9003899
Caçapava,-23.099204,-45.707645
Campinas,-22.9056391,-47.059564
Taubaté,-23.031448,-45.5612792
Vargem Grande do Sul,-21.8310636,-46.893303
Dionísio,-19.841944,-42.776945
Carmo,-21.9338,-42.6084
São Gonçalo do Sapucaí,-21.8905238,-45.5935943
Passa Quatro,-22.3893803,-44.9666039
Santo Antônio do Grama,-20.314444,-42.608611
Teixeiras,-20.6517875,-42.8563275
Itamaraju,-17.0340092,-39.5315525
Cruzília,-21.838333,-44.808056
Guanhães,-18.7753627,-42.9340634
Boa Esperança,-21.0901253,-45.5660195
Itamogi,-21.0793213,-47.048612
Espera Feliz,-20.6494192,-41.9080693
Barbacena,-21.2254524,-43.7735087
São Pedro dos Ferros,-20.1706687,-42.522901
Vitória,-20.3200917,-40.3376682
São João Del-Rei,-21.1335755,-44.2588086
Ribeirão Preto,-21.1776315,-47.8100983
Itabira,-19.6190169,-43.226248
Lajinha,-20.1520595,-41.6240623
Caratinga,-19.7900887,-42.140533
Conselheiro Lafaiete,-20.6596107,-43.785743
Rio de Janeiro,-22.9110137,-43.2093727
Brasília,-10.3333333,-53.2
Castelo,-20.6022098,-41.2032124
Unaí,-16.3628767,-46.892413
Guiricema,-21.0086064,-42.7190891
Formiga,-20.4648425,-45.4266753
Contagem,-19.9132749,-44.0840953
Florestal,-19.8878705,-44.4314766
Pará de Minas,-19.8668656,-44.5912664
Arcos,-20.282223,-45.539444
Pavão,-17.430699,-40.9991361
Itaúna,-20.075556,-44.576389
Limoeiro do Norte,-5.1455607,-38.0984936
Mateus Leme,-19.986666,-44.428056
Curitiba,-25.4295963,-49.2712724
Passos,-20.7167803,-46.6156864
Teófilo Otoni,-17.8579267,-41.5081533
Betim,-19.968056,-44.198333
São Caetano do Sul,-23.6195923,-46.5688323
Sete Lagoas,-19.466111,-44.246944
Pitangui,-19.682223,-44.890555
Perdões,-21.0919737,-45.0903543
Montes Claros,-16.7495727,-43.8687268
Bom Despacho,-19.7375242,-45.2517288
Taiobeiras,-15.811859,-42.2319723
Maravilhas,-19.515278,-44.676389
Osasco,-23.5324859,-46.7916801
Cajuri,-20.7901414,-42.7954489
Leopoldina,-21.5314282,-42.6403534
Araxá,-19.6009149,-46.940923
Inhaúma,-19.490277,-44.389166
Muriaé,-21.1313485,-42.3628918
Dom Silvério,-20.1631352,-42.9666824
Águas de Lindóia,-22.4718855,-46.6291034
Venda Nova do Imigrante,-20.3325787,-41.1295842
Campanha,-21.8361108,-45.401986
Uberlândia,-18.9188041,-48.2767837
Ouro Preto,-20.385527,-43.5035214
São Roque,-23.5304843,-47.1355473
Pirapora,-17.3493765,-44.9507904
Ouro Branco,-20.5222413,-43.6917283
Alvinópolis,-20.1105199,-43.0601805
Itaperuna,-21.215816,-41.879813
Carangola,-20.733638,-42.0299412
Santa Bárbara,-19.959444,-43.415278
Tauá,-6.0031372,-40.2947268
Manhuaçu,-20.2574434,-42.0340769
São Mateus,-18.7146049,-39.8539499
Ribeirão Pires,-23.7134177,-46.4160929
Manhumirim,-20.3599141,-41.9554606
Raul Soares,-20.102222,-42.451944
São Carlos,-21.8788022,-47.8567619
Limeira,-22.5615068,-47.401766
Sabará,-19.8900372,-43.8107916
Vila Velha,-20.3297037,-40.2920174
Martinho Campos,-19.331945,-45.236666
Arujá,-23.396266,-46.3175449
Resende Costa,-20.921945,-44.237777
Ibirité,-20.0214251,-44.0621506
